Technology,Category,Confidence,Version,Evidence
IP: 31.43.160.6,Infrastructure,100%,,DNS Resolution for ticaretus.com
"Location: Amsterdam, The Netherlands",Geo-Location,100%,,GeoIP Lookup
ISP: Framer B.V,Infrastructure,100%,,Organization: Framer B.V
Google Workspace,Email,100%,MX: smtp.google.com.,
Found 2 Subdomains,Reconnaissance,100%,,"www.ticaretus.com, shop.ticaretus.com"
"Open Ports: 21/FTP, 22/SSH, 8443/HTTPS-Alt, 9200/Elasticsearch, 6379/Redis, 53/DNS",Infrastructure,100%,,Active TCP Connect Scan
Server Leaks (Error Page),Infrastructure,100%,,Server Header: Framer/091071e
Framer,CMS,100%,,"Header: Server, Meta: generator, HTML Pattern: framerusercontent\.c..., HTML Pattern: <!-- Made in Framer..."
Security Grade: F,Security Audit,100%,,Score: 40/100. Missing 4 critical headers.
React,JavaScript Frameworks,90%,,Implied by Framer
Hotjar,Analytics,80%,,JS Bundle Pattern: hj
Google Analytics,Analytics,50%,,Script: googletagmanager\.com/gtag/js
Facebook Pixel,Analytics,40%,,HTML Pattern: fbq\('init'...
